GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
06075013400,Census Tract 134,3.834600512,0,3.571487374,76.2,2.7,15.6,0,77.3,1.2,16.1,0.6,11.73933567,7.634820678,7.634820678,134,15,39.88803359,18.33449965,27.03497,26.37362637,28.74251497
06075013500,Census Tract 135,3.562577196,0,3.287000197,79.5,2.9,17.7,0,72.6,3.4,18.9,0.5,11.59986434,7.419380583,7.419380583,255,0,28.30910482,8.263198164,27.03497,8.928571429,8.928571429
06075015100,Census Tract 151,3.003588498,0,2.743059603,74,2.4,36.6,3.2,62.4,0.1,32,0,11.31757946,7.533158807,7.533158807,342,61,42.27074236,26.63755459,27.03497,5.524861878,6.644518272
06075015200,Census Tract 152,3.388403768,0,3.030702808,67.1,4.7,20.7,5.9,65.5,6.7,25.3,0,11.42152264,7.366445148,7.366445148,145,89,32.91005291,13.75661376,27.03497,19.44444444,38.46153846
06075015300,Census Tract 153,3.746567249,0,3.434962052,69.8,1.9,16.9,4.5,69.6,7.6,16.6,0.9,11.51873854,7.601402335,7.601402335,92,5,40.72948328,21.12462006,27.03497,28.68217054,29.83870968
06075015400,Census Tract 154,4.092278338,0,3.861171171,71,5.8,23.3,2.4,64.7,2.1,26.1,1.4,11.63045958,7.556427969,7.556427969,203,0,35.546875,17.1875,27.03497,22.81368821,22.81368821
06075015500,Census Tract 155,3.514692156,0,3.110531761,55.1,2.7,37.8,16.6,56.9,3,35.1,0,11.05758185,7.313220387,7.313220387,224,57,47.72158237,26.58988483,27.03497,11.46245059,14.79591837
06075015600,Census Tract 156,4.149047562,0,4.008013966,68.3,4.2,33.4,10.3,56.3,0.9,36.1,0,11.35337859,7.368970402,7.368970402,110,0,40.30797101,23.1884058,27.03497,21.9858156,21.9858156
06075015700,Census Tract 157,3.93841869,0,3.726137429,67.9,7.2,16.6,3,58.9,3.9,26.2,1.2,11.38926519,7.522940918,7.522940918,173,0,46.87825182,22.16441207,27.03497,33.7164751,33.7164751
06075015801,Census Tract 158.01,3.6239246,0,3.217634056,53.5,8.9,24.5,20.6,38.6,36.8,15.3,0,11.17519844,6.959398512,6.959398512,81,0,31.58313445,9.148766905,27.03497,35.71428571,35.71428571
06075015802,Census Tract 158.02,3.623529276,0,3.265360899,73.1,7.6,18.8,4.4,67.3,7,14.3,0.8,11.3052861,7.21964204,7.21964204,168,0,35.84758942,14.93001555,27.03497,23.98190045,23.98190045
06075015900,Census Tract 159,3.234338119,0,2.670751038,58.3,2.5,40.9,7.8,37.9,11.7,42.2,4,10.69550674,7.38832786,7.38832786,292,90,43.81350867,27.85415421,27.03497,9.034267913,12.55411255
06075016000,Census Tract 160,2.669271936,0,1.976596903,65.6,3.1,43.8,3.4,48.1,7.4,36.4,0,10.94125228,6.996681488,6.996681488,270,30,44.16809605,19.46826758,27.03497,3.914590747,4.38247012
06075016100,Census Tract 161,3.150955919,0,2.388845688,35.8,5.9,39.3,27.8,24.9,39.4,26.1,0,10.03420875,6.64509097,6.64509097,187,0,42.1221865,20.49839228,27.03497,13.02325581,13.02325581
06075016200,Census Tract 162,2.659925379,0,0.436020882,68.4,2.5,22.1,0,69,5,17.4,0.2,11.15446321,7.25488481,7.25488481,148,87,46.18501013,18.02835922,27.03497,29.18660287,50
06075016300,Census Tract 163,3.196833319,0,2.49637796,59.2,2.8,28.4,25.4,59.7,14.7,15.1,0,11.3729735,7.374001859,7.374001859,181,83,37.04171934,16.05562579,27.03497,24.58333333,37.57961783
06075016400,Census Tract 164,3.490248156,0,3.183818272,64,3.6,18,6.5,70.5,10.6,10.6,0.2,11.36831579,7.469654173,7.469654173,39,0,34.14477899,15.95131326,27.03497,64.86486486,64.86486486
