GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6075032700,Census Tract 327,2013,17.9104478,23.0277186,7.355001921,13.61705962,0,0,50.8,3.7,44.5,8.4,35.07,0.00,59.54,5.39,11.315718,938,26
6013327000,Census Tract 3270,2013,31.6410862,13.8134593,7.104144093,11.73846614,0,0,16.1,7,19,12.1,75.79,1.45,6.48,16.28,10.852691,847,109
6075032801,Census Tract 328.01,2013,26.5185185,29.1851852,7.28276118,13.45065942,0,0,43.9,4.5,52.1,10.6,34.43,0.30,59.43,5.84,11.170435,675,134
6075032802,Census Tract 328.02,2013,25.9445844,26.1964736,7.649692624,13.48450336,0,0,39.3,4.5,48.9,14.8,23.06,2.14,67.77,7.03,11.307241,397,106
6013328000,Census Tract 3280,2013,26.9671505,29.8701299,7.081708586,12.041198,0,0,33.5,8.1,32.7,21.3,57.22,12.62,23.66,6.49,10.340903,1309,64
6075032901,Census Tract 329.01,2013,14.9377593,35.0622407,7.544861069,13.43161123,0,0,41.1,5,51.6,10.3,32.00,0.79,61.65,5.56,11.218340,482,27
6075032902,Census Tract 329.02,2013,17.9856115,22.0623501,7.239932591,13.42616483,0,0,44.6,7.1,51.1,8.7,26.59,1.35,67.06,5.00,11.406375,417,87
6013329000,Census Tract 3290,2013,16.2500000,37.5000000,7.374629015,12.55143383,0,0,18.1,9.5,17.4,12.9,74.69,5.64,5.54,14.14,11.100300,800,97
6075033000,Census Tract 330,2013,27.6459854,25.5474453,7.577121931,13.60737876,0,0,50.2,5.9,40.7,10.8,41.86,0.75,50.92,6.47,11.441816,1096,142
6013330000,Census Tract 3300,2013,14.7104851,30.5164319,7.440733707,12.59574707,0,0,23.1,8.6,21.1,12.9,77.96,4.18,6.03,11.83,11.202166,639,161
6075033100,Census Tract 331,2013,4.0178571,27.6785714,7.649692624,13.71833865,0,0,60.3,5.3,41.7,3.8,36.60,0.00,61.63,1.77,11.629045,224,71
6013331000,Census Tract 3310,2013,25.2077562,26.5004617,7.21964204,12.79079908,0,0,33.5,9,19.5,4.7,73.07,3.62,10.29,13.02,11.146619,1083,149
6075033201,Census Tract 332.01,2013,7.9147641,46.1187215,7.411556288,13.38933241,0,0,42.6,8.6,18.5,42.6,58.76,5.64,17.95,17.65,10.195074,657,117
6075033203,Census Tract 332.03,2013,24.7311828,30.9139785,7.589335823,13.38933241,0,0,53.3,4.4,40,25,47.86,2.80,36.18,13.16,11.122058,1488,128
6075033204,Census Tract 332.04,2013,23.6155315,32.7180140,7.512617545,13.38933241,0,0,55.8,9,37.8,33.5,41.50,9.34,34.78,14.38,10.785456,1571,113
6013332000,Census Tract 3320,2013,43.7172775,15.5759162,7.263329617,12.74461071,0,0,29.6,6.1,20.7,8.2,76.36,0.20,9.28,14.16,11.168998,764,31
6013333101,Census Tract 3331.01,2013,38.4449244,38.4449244,7.275864601,12.86488715,0,0,22.5,7.2,18.1,3.8,72.37,4.21,11.00,12.42,11.197886,463,48
6013333102,Census Tract 3331.02,2013,25.3968254,12.1693122,7.119635638,12.92220366,0,0,27,7,15.2,5.6,77.20,3.32,16.98,2.50,11.186156,378,83
6013333200,Census Tract 3332,2013,28.5460993,46.0992908,7.461065514,12.90196605,0,0,33.9,8.7,20.7,3.8,75.40,1.17,7.46,15.97,11.229992,564,127
6013334001,Census Tract 3340.01,2013,33.0827068,21.3032581,7.188412736,12.74490247,0,0,27.9,4.6,17.7,6.7,72.17,6.59,12.97,8.26,10.909400,798,99
6013334004,Census Tract 3340.04,2013,27.4390244,24.3140244,7.170888479,12.52416267,0,0,37.4,9.6,19.8,9.6,64.05,5.70,18.69,11.56,11.212833,1312,270
6013334006,Census Tract 3340.06,2013,7.1146245,37.5494071,7.649692624,13.04440184,0,0,52.4,6.4,26,6.1,70.51,2.17,19.20,8.12,11.693846,253,93
6013334200,Census Tract 3342,2013,21.0597826,21.3315217,7.649692624,13.67521347,0,0,66.2,5.6,14.6,3.1,81.08,1.66,9.39,7.87,11.770795,736,64
6013335000,Census Tract 3350,2013,14.6401985,41.1910670,7.376508126,12.80133133,0,0,29.5,8.6,15.3,10.5,75.64,2.00,9.29,13.07,11.161338,403,40
6013336101,Census Tract 3361.01,2013,27.9690189,38.9845095,6.992096427,12.2581906,0,0,15.3,13.9,47,25.8,60.38,5.90,10.03,23.69,10.594983,1162,210
6013336102,Census Tract 3361.02,2013,26.2528736,27.1264368,7.062191632,11.88930499,0,0,17,8.5,48.9,20.9,56.50,6.74,12.93,23.82,10.644186,2175,353
6013336201,Census Tract 3362.01,2013,26.1658031,19.4300518,7.21964204,12.52307077,0,0,17.7,7.1,38.3,13.6,61.14,0.00,9.29,29.58,11.149959,386,69
6013336202,Census Tract 3362.02,2013,27.0802920,37.6642336,6.967909202,12.33841583,0,0,12.7,8.2,53.3,37.3,60.73,5.08,2.89,31.30,10.410937,1370,120
6013337100,Census Tract 3371,2013,30.5220884,15.6626506,7.243512975,13.14471178,0,0,42,7.5,17.6,7.2,76.62,2.79,11.45,9.14,11.373169,249,67
6013337200,Census Tract 3372,2013,39.7212544,23.6933798,7.138867,12.73699497,0,0,33.8,6,18.9,14.7,75.61,4.76,13.15,6.47,10.970919,861,196
6013337300,Census Tract 3373,2013,25.7211538,11.2980769,7.273092596,13.34582688,0,0,55.3,4,19.7,1.2,69.35,3.13,15.62,11.91,11.710965,416,187
6013338101,Census Tract 3381.01,2013,15.3571429,47.1428571,7.170119543,12.56164698,0,0,22,5.4,35.6,30.8,61.88,4.55,8.95,24.62,10.820398,840,188
6013338102,Census Tract 3381.02,2013,16.5745856,15.4696133,7.494986234,13.02497103,0,0,51.1,11.3,16.2,6.9,71.42,1.99,14.91,11.67,11.446796,181,90
6013338201,Census Tract 3382.01,2013,12.8834356,20.8588957,7.235619141,13.30017478,0,0,57.8,4,21,6.6,76.34,0.17,16.33,7.16,11.617880,163,44
6013338203,Census Tract 3382.03,2013,19.6797865,8.0053369,7.374001859,12.86540448,0,0,65.6,9.8,17.9,6.1,72.54,2.75,14.40,10.31,11.370532,1499,182
6013338204,Census Tract 3382.04,2013,16.0599572,8.4582441,7.427144133,13.00650349,0,0,68.9,5,31.5,3.5,72.86,0.64,20.08,6.42,11.442439,934,167
6013338301,Census Tract 3383.01,2013,39.5061728,17.2839506,7.596392304,13.58092682,0,0,66.1,2.8,16.2,9.1,79.67,0.40,15.49,4.44,11.783906,81,41
6013338302,Census Tract 3383.02,2013,35.1515152,32.1212121,7.649692624,13.59324162,0,0,66.2,3.6,11.9,4.5,80.05,3.46,6.07,10.42,11.856075,165,13
