GEOID,Census_Tract,year,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_non_white,log_MHI
6075023200,Census Tract 232,2015,11.74242424,53.7878788,7.021083964,13.13902382,0,0,15.8061117,14.8,27.62342135,73.69,10.65046
6075023300,Census Tract 233,2015,35.23809524,32.3809524,6.744059186,13.65944137,0,0,25.48780488,11,68.02361715,84.99,11.083618
6075023400,Census Tract 234,2015,33.26732673,18.4158416,6.50578406,13.76115996,0,0,12.64,14.9,37.46639785,85.79,10.447671
6075025100,Census Tract 251,2015,14.52513966,25.4189944,7.540621529,13.61327197,0,0,62.70566728,7.6,22.12156634,34.4,11.463273
6075025200,Census Tract 252,2015,11.06965174,14.0547264,7.609366538,13.61730349,0,0,66.36262514,12.8,14.1728312,31.76,11.759856
6075025300,Census Tract 253,2015,24.07906559,17.6100629,7.328437353,13.6248342,0,0,61.87091271,1,27.39396589,38.08,11.449986
6075025401,Census Tract 254.01,2015,33.33333333,12.5368732,7.258412151,13.48269164,0,0,48.80857824,9,29.70686008,44.45,11.390328
6075025402,Census Tract 254.02,2015,36.70886076,5.6962025,7.749753406,13.44459179,0,0,59.9913119,4.5,32.69480519,35.88,11.832985
6075025403,Census Tract 254.03,2015,24.90013316,25.6990679,7.118826249,13.29126191,0,0,30.46997389,13.2,44.87776484,57.39,11.20039
6075025500,Census Tract 255,2015,11.38545953,38.4087791,7.602900462,13.31940933,0,0,35.52029295,6.6,41.22326131,64.9,11.431889
6075025600,Census Tract 256,2015,25.57077626,22.6027397,7.059617628,13.36578003,0,0,28.26188257,7.5,51.68201133,74.04,11.204387
6075025701,Census Tract 257.01,2015,30.6372549,23.5294118,7.603897969,13.32954014,0,0,24.28452348,4.8,49.70437525,79.11,11.2735
6075025702,Census Tract 257.02,2015,36.97183099,20.0704225,7.300472814,13.40573618,0,0,15.94449165,5.8,65.40419467,85.99,11.015937
6075025800,Census Tract 258,2015,29.86111111,38.8888889,7.077498054,13.30017478,0,0,28.08123249,9.3,52.48157248,80.69,10.937561
6075025900,Census Tract 259,2015,27.5462963,29.1666667,7.511524648,13.35283998,0,0,36.7280285,8.6,40.19769357,67.07,11.375822
6075026001,Census Tract 260.01,2015,19.22525108,42.8981349,7.250635512,13.25846646,0,0,19.04406273,7.2,51.60841593,71.43,11.017612
6075026002,Census Tract 260.02,2015,44.95798319,9.6638655,7.476472381,13.36389679,0,0,30.13205282,6.1,49.35659136,64.11,11.339322
6075026003,Census Tract 260.03,2015,30.23715415,36.5612648,7.428333194,13.3574355,0,0,21.2160414,10.2,55.48633441,67.73,10.998627
6075026004,Census Tract 260.04,2015,21.42857143,33.0357143,7.381501895,13.34037378,0,0,26.90677966,10,56.78963111,63.17,11.095317
6075026100,Census Tract 261,2015,21.61254199,35.8342665,7.250635512,13.31281843,0,0,26.94422624,6.8,60.4701471,81.42,11.045351
6075026200,Census Tract 262,2015,34.00936037,22.9329173,7.118016204,13.26784804,0,0,25.60725282,11.9,55.57707204,81.4,11.226043
6075026301,Census Tract 263.01,2015,31.88647746,19.8664441,7.214504414,13.30701555,0,0,28.96966384,8.3,55.97894737,73.56,10.942544
