GEOID,Census_Tract,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,Composite_Score,log_BART_dist,log_CBD_dist,coastal_tracts_dummy,percent_bachelors_degree,unemployment_rate,percent_foreign_born,percent_non_white,log_MHI,School_district_quality,job_acc_auto,job_acc_transit
6013340001,Census Tract 3400.01,4.11414719,3.486775889,7.405495663,13.33892532,1.187443502,0.693147181,3.1019663,5.8313085,0,4.055257174,2.128231706,2.954910279,2.975529566,11.14000499,0,12.12858181,8.731074783
6013340002,Census Tract 3400.02,3.306886702,3.024305644,7.668561108,13.55816369,0.174353387,0,3.3582045,5.7424681,0,4.213607983,1.568615918,2.617395833,2.965273066,11.6727628,2.302585093,11.93150117,0
6013341000,Census Tract 3410,3.594568775,2.052660523,7.413367336,13.65075383,0.15082289,-0.693147181,3.6937051,5.7252106,0,4.206184044,1.774952351,2.397895273,2.791165108,11.66432379,0.693147181,12.0405866,8.460487381
6013343001,Census Tract 3430.01,3.744787086,2.851250689,7.401231264,13.67601858,-0.470003629,-0.693147181,3.6788348,5.9092453,0,4.165113633,1.916922612,2.944438979,2.778819272,11.49442539,2.197224577,11.99120399,8.7445391
6013343002,Census Tract 3430.02,3.77505715,2.657874037,7.479864131,13.54763111,0.363843434,0,3.8037753,5.9418472,0,4.099332104,1.887069649,2.708050201,2.890371758,11.44601614,2.197224577,11.90832415,0
6013343003,Census Tract 3430.03,3.998200702,2.985781943,7.318539549,13.72449116,0.85566611,0,4.2310838,5.9779256,0,4.147885329,2.041220329,2.292534757,2.856470206,11.76065235,2.197224577,12.08376933,8.464585349
6013345101,Census Tract 3451.01,3.716008122,2.456735776,7.526717561,13.46708719,1.021651248,0,3.9980855,6.1984102,0,3.918005077,1.589235205,2.424802726,3.456316681,11.66045714,2.197224577,12.09756692,6.925762177
6013345102,Census Tract 3451.02,3.822098298,2.989301385,7.787796878,13.42054019,0,0,4.3778778,6.1631908,0,3.96081317,1.916922612,2.312535424,3.265759411,11.74245657,2.302585093,11.91455205,6.187791732
6013345103,Census Tract 3451.03,3.763522997,3.27897975,7.412160335,13.45080344,4.605170186,-0.693147181,4.1362927,6.228938,0,4.070734697,1.740466175,2.595254707,3.456316681,11.77774057,2.302585093,11.84665455,0
6013345105,Census Tract 3451.05,3.370738174,3.330595069,7.68386398,13.60540662,0,0,5.1745822,6.0550432,0,4.183575696,1.686398954,2.63905733,2.862200881,11.65810747,2.197224577,11.94779478,7.398780155
6013345108,Census Tract 3451.08,3.786459782,2.968651317,7.696212639,13.49709433,0.210721031,0,4.8272217,6.1425683,0,4.283586562,1.193922468,2.791165108,3.795489189,11.69887377,2.302585093,11.7783216,0
6013345111,Census Tract 3451.11,3.666122467,1.948700923,7.551186867,13.61388385,0,0,4.6093418,6.1456262,0,4.210645018,1.481604541,0,3.985273467,11.70664021,2.302585093,11.94120291,6.357408897
6013345112,Census Tract 3451.12,3.912023005,2.652398947,7.544861069,13.81830665,0,0,4.5958316,6.228683,0,4.135166557,0.993251773,0,3.899950424,11.5280899,1.609437912,11.69336594,0
6013345113,Census Tract 3451.13,3.956996371,0,8.054204897,13.71059439,0,0,5.0477503,6.1872171,0,4.265492818,0.916290732,0,3.380994674,11.9702617,2.302585093,11.64112143,0
6013345114,Census Tract 3451.14,4.147885329,3.550729116,8.067776196,13.66782229,0,0,5.1413791,6.1090032,0,4.163559631,1.824549292,0,2.282382386,11.9226548,2.197224577,11.75248273,0
6013345115,Census Tract 3451.15,3.683866912,3.36840756,7.791935957,13.75576055,1.733490561,0.405465108,4.6336631,6.0661872,0,4.15575319,0.741937345,0,3.763522997,12.01909828,2.302585093,11.94397467,6.289084574
6013345116,Census Tract 3451.16,3.61361697,2.139681619,8.077757564,13.55180539,0,0,4.8510958,6.0678338,0,4.130355,0.955511445,0,3.552486829,11.92355057,2.302585093,11.96301621,6.937634418
6013345202,Census Tract 3452.02,3.56671182,3.024538273,7.569411792,13.41353934,1.30933332,-0.693147181,5.078893,6.0096041,0,4.222444565,1.902107526,2.624668592,3.618993327,11.65139962,2.302585093,11.94445666,7.793854809
6013345203,Census Tract 3452.03,3.916015027,2.896032914,7.592870288,13.84846166,0,0,5.1712923,5.8859018,0,4.115779843,1.547562509,0,2.809402695,11.84171829,0,11.98271789,8.363722614
6013345204,Census Tract 3452.04,3.126760536,2.787435228,8.160518247,14.19647803,0,0,4.783285,5.8341241,0,4.317488114,2.066862759,0,1.435084525,12.11905945,1.098612289,12.01571741,7.982498283
6013346101,Census Tract 3461.01,3.478158423,3.485051693,8.065893547,13.72722564,0,0,4.6521396,6.046864,0,4.286341385,1.887069649,2.815408719,2.674148649,11.90595355,2.197224577,11.94835642,8.173016955
6013346102,Census Tract 3461.02,4.099332104,0,7.889459149,14.21314509,0,0,5.012786,6.1001291,0,4.30676415,1.193922468,2.32238772,2.708050201,12.13986874,2.302585093,11.78018467,0
6013346201,Census Tract 3462.01,3.632309103,3.724535905,7.9686657,13.95039104,0,0,5.1728365,6.1052223,0,4.228292535,1.029619417,2.014903021,2.186051277,11.99467855,2.302585093,11.71041158,0
6013346203,Census Tract 3462.03,4.475061501,2.780620897,8.048788284,13.73027941,0,0,5.2435725,6.0448623,0,4.278054044,1.30833282,0,2.517696473,11.76448542,2.197224577,11.91398893,0
6013346204,Census Tract 3462.04,3.873282177,3.52200222,7.61332498,13.86781834,0,0,5.2782572,6.1694787,0,4.258445573,2.104134154,0,2.939161922,12.10913765,2.302585093,11.86778167,0
6013347000,Census Tract 3470,4.138361448,3.025585236,7.272398393,13.78112613,0,0,4.1736081,5.5853181,0,4.222444565,1.223775432,2.451005098,3.005682604,11.95600744,2.302585093,11.82367791,0
6013348000,Census Tract 3480,3.698829785,2.663598439,7.606884531,14.11324197,0,0,2.9240876,5.4568658,0,4.282206299,2.091864062,2.451005098,3.072693315,12.11254737,2.302585093,12.04277315,9.14546366
6013349000,Census Tract 3490,3.777348102,3.32781051,7.358830898,13.81320791,1.560647748,0.693147181,3.5644081,5.6162468,0,4.185098925,1.791759469,2.63188884,2.87356464,11.64236475,0.693147181,11.94558279,0
