GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_non_white,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_burdened,rent_overburdened,rent_hourly_wage,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
6013354002,Census Tract 3540.02,3.640722284,0,5.053246951,82.3,1.6,19.5,1,24.1,12.11051944,7.448333861,12.70198766,90,0,52.26244344,7.466063348,9.351841,1.098901099,1.098901099
6013355107,Census Tract 3551.07,5.356074385,0,6.538004738,27.7,7.6,21.9,7.8,41.9,11.30560605,7.593877845,12.56793412,17,0,51.95530726,26.53631285,9.351841,19.04761905,19.04761905
6013355108,Census Tract 3551.08,5.564725412,0,6.642020587,34.5,6.3,25.5,4.3,68.6,11.41454056,7.63336965,12.46920585,187,172,65.1497006,29.10179641,9.351841,1.578947368,16.66666667
6013355109,Census Tract 3551.09,5.536511389,0,6.673444636,23.9,9,19.4,8.3,53.1,11.49762907,7.483244416,12.58485149,0,0,55.61643836,39.7260274,9.351841,100,100
6013355110,Census Tract 3551.10,5.689109491,0,6.717985968,28.7,10.3,20.4,0.9,62.8,11.36665036,8.210124405,13.95891802,187,114,29.0625,21.25,9.351841,1.058201058,2.666666667
6013355111,Census Tract 3551.11,5.642280746,0,6.710675785,28.7,8.7,19.6,7.6,63.5,11.53390387,7.797702036,13.74658911,95,0,31.77737882,20.46678636,9.351841,2.06185567,2.06185567
6013355114,Census Tract 3551.14,4.922973648,0,6.290157118,70.3,1.9,34.9,2.2,53.4,11.98590591,8.047189562,13.79029531,91,0,52.42881072,29.98324958,9.351841,1.086956522,1.086956522
6013355115,Census Tract 3551.15,4.608454051,0,6.274140932,57.3,5.2,42,19.8,70.5,11.44392902,7.559038255,13.64827464,128,41,50.95753539,27.14404663,9.351841,0.775193798,1.136363636
6013355200,Census Tract 3552,4.090276621,0,6.257408899,44.9,9.5,36.9,3.3,75.5,11.51848001,7.677863501,13.70323732,280,64,43.12668464,20.12578616,9.351841,2.43902439,3.139013453
6013355301,Census Tract 3553.01,4.710136832,0,6.216599002,50.3,5.6,18.8,2.9,29.4,11.52442904,7.451822237,13.19598552,0,0,36.08870968,24.19354839,9.351841,100,100
6013355302,Census Tract 3553.02,4.604830399,0,6.125720183,73,4.8,23.2,2,26.5,12.10598708,7.097548851,13.31562487,27,0,6.140350877,0,9.351841,3.571428571,3.571428571
6013355304,Census Tract 3553.04,4.729718179,0,6.34604512,46,5.3,14.8,3,16.7,11.68775234,7.413367336,12.71228766,127,0,47.23127036,37.45928339,9.351841,0.78125,0.78125
6013356002,Census Tract 3560.02,4.857203635,0,5.214869161,45.6,3.3,25.2,2.8,62.5,11.66349832,7.198931241,12.52960437,104,0,60.47904192,17.36526946,9.351841,5.454545455,5.454545455
6013357000,Census Tract 3570,5.576728661,1,5.712576109,28.3,3.4,8.6,7.6,17.9,11.38311286,7.027314514,12.64593918,166,45,27.27272727,19.39393939,9.351841,1.19047619,1.62601626
6013359102,Census Tract 3591.02,4.873853949,0,5.425045265,24.7,5.4,27.9,5.7,49.5,11.11961617,7.69802917,12.42400263,123,0,56.44444444,26.51851852,9.351841,0.806451613,0.806451613
6013359103,Census Tract 3591.03,4.879488893,0,5.387215352,31,3.7,23.3,7.4,51.1,11.10205075,7.473637108,12.92634849,100,26,49.46236559,22.04301075,9.351841,0.99009901,1.333333333
6013359104,Census Tract 3591.04,5.006884807,0,5.423324435,57.1,4.2,31.5,5.6,73.2,11.18251681,7.444248649,12.907188,95,52,50.77720207,15.02590674,9.351841,1.041666667,2.272727273
6013359105,Census Tract 3591.05,5.042140111,0,5.477940914,47.5,4.2,31.1,3.8,75.9,11.61832998,7.107425474,12.75650352,87,0,34.93449782,21.83406114,9.351841,2.247191011,2.247191011
6013359202,Census Tract 3592.02,4.95850635,0,5.236343196,36,2.9,22,0.7,41.9,11.33586604,7.409136444,12.96172503,187,150,66.45367412,23.00319489,9.351841,1.058201058,5.128205128
6013359204,Census Tract 3592.04,4.980133634,0,5.351022404,34.1,3.3,36.1,1.1,79.5,11.65014505,7.185387016,13.05771818,0,0,68.02030457,37.05583756,9.351841,100,100
6013360101,Census Tract 3601.01,4.643912756,0,5.217265014,40.2,5,24.9,4.6,51.3,11.33188309,7.060476366,12.78352835,197,94,42.69005848,31.57894737,9.351841,1.5,2.830188679
6013360102,Census Tract 3601.02,4.677644238,0,5.079742001,42.8,5.2,29.7,1.5,50,11.62374207,7.138867,12.75071982,55,0,44.31818182,25.56818182,9.351841,5.172413793,5.172413793
6013360200,Census Tract 3602,4.371089713,0,5.103559548,25.9,9.4,23.2,9.5,44.7,11.10842489,7.228388452,12.84792653,143,54,49.09326425,14.37823834,9.351841,0.694444444,1.111111111
6013361000,Census Tract 3610,4.003286563,0,4.807786833,31.2,4.4,29.9,11.4,49.5,11.04292184,7.222566019,12.50023368,71,43,41.08910891,23.39108911,9.351841,5.333333333,12.5
6013363000,Census Tract 3630,4.470446793,0,5.225629807,25.2,4.4,25.2,3.3,52.1,11.11298507,7.242082359,12.26575565,157,0,39.74221267,15.89688507,9.351841,2.48447205,2.48447205
6013364002,Census Tract 3640.02,4.682188077,0,5.362847495,15.6,9.3,22.3,12.6,56.1,10.98735838,7.301822342,12.26998597,113,30,67.69005848,49.26900585,9.351841,0.877192982,1.19047619
6013365002,Census Tract 3650.02,4.099684562,0,5.429597582,11.8,11.2,40.3,33.3,57.3,10.40804356,7.068172,12.29637028,193,20,57.14285714,38.49721707,9.351841,1.025641026,1.142857143
6013365003,Census Tract 3650.03,4.437445933,0,5.315726159,32.1,4.3,32.5,6.7,59,10.99775709,7.005789019,12.05989014,293,190,49.25701706,18.54705559,9.351841,1.013513514,2.830188679
6013366001,Census Tract 3660.01,4.162024011,0,5.339287529,18.6,8.9,39.4,11.1,52.6,10.92202797,6.952728645,12.63817968,117,0,71.02396514,28.32244009,9.351841,0.847457627,0.847457627
6013366002,Census Tract 3660.02,3.949087664,0,5.316906723,10,6.4,45.6,13.2,47.8,10.92173903,6.915723449,12.35879373,187,19,47.36842105,21.53996101,9.351841,0.531914894,0.591715976
6013367100,Census Tract 3671,4.21813827,0,5.248794716,20.6,10.1,25.1,15.9,65.1,10.79253041,7.038783541,12.2322276,113,56,61.61321672,31.87560739,9.351841,1.739130435,3.389830508
6013367200,Census Tract 3672,3.99735932,0,5.223524305,15.9,4.7,40,17.9,54,10.77199461,6.947937069,11.83645719,82,22,55.42035398,20.57522124,9.351841,4.651162791,6.25
6013368002,Census Tract 3680.02,3.664497157,0,5.272890402,8.9,8.7,42.3,21.9,54.7,10.62088822,7.317876199,12.44744897,37,0,67.50448833,32.31597846,9.351841,2.631578947,2.631578947
6013369002,Census Tract 3690.02,4.008504975,0,5.110073938,19.8,2.4,27.8,8.3,48.9,10.89703558,7.093404626,12.4355958,112,21,53.98230088,35.39823009,9.351841,3.448275862,4.210526316
6013370000,Census Tract 3700,3.227516636,0,4.932616855,33.6,3.1,27.2,8.1,42.4,11.35236931,6.966024187,12.28164383,97,0,35.94594595,24.86486486,9.351841,3.96039604,3.96039604
6013371000,Census Tract 3710,3.470598341,0,4.987475731,29.4,6.2,34.5,12.2,60.9,11.0610132,6.953684211,11.90834024,62,0,60.75156576,26.93110647,9.351841,10.14492754,10.14492754
6013374000,Census Tract 3740,2.912516646,0,5.060634221,22.2,8.5,33,15.1,56.5,10.66930417,6.870053412,12.01188092,132,55,57.04824976,26.96310312,9.351841,2.941176471,4.938271605
6013376000,Census Tract 3760,2.84339022,0,5.216444009,10.3,6,40,27.4,66.5,10.3804668,6.982862751,13.17476606,181,29,52.9228371,24.62977397,9.351841,1.092896175,1.298701299
6013377000,Census Tract 3770,2.858599666,0,5.181410377,8.1,8.5,41,20.7,60.7,10.37885179,7.25629724,12.1079084,293,51,59.77496484,34.95077356,9.351841,1.013513514,1.224489796
6013378000,Census Tract 3780,4.193774544,0,5.401861957,63.5,3.3,13.2,1.1,23.4,11.33972617,7.138073034,12.77535584,249,113,40.6961178,19.14323963,9.351841,9.782608696,16.56441718
6013379000,Census Tract 3790,2.720232232,0,5.103163948,6.4,10.1,31,21.8,76.5,10.51786205,6.903747258,12.15161646,243,38,62.82372598,34.41938179,9.351841,1.619433198,1.913875598
6013380000,Census Tract 3800,3.929843601,0,4.851208766,47.3,6.4,27.2,10.7,60.3,11.21876915,7.347299701,12.28118012,152,39,42.11618257,16.52835408,9.351841,6.172839506,8.130081301
6013381000,Census Tract 3810,3.407132983,0,4.940697334,10.6,4.3,32.5,17.3,64.8,10.75690238,7.506042179,12.83548099,138,35,51.61812298,17.47572816,9.351841,0.71942446,0.961538462
6013382000,Census Tract 3820,2.876652999,0,4.7003515,11.7,11.4,30.4,25.9,85.8,10.30450947,7.758760544,13.3164488,91,44,66.32420091,33.61872146,9.351841,6.18556701,11.32075472
6013383000,Census Tract 3830,3.137240238,0,4.49106961,54.8,3.5,28.9,7,53.1,11.13317196,7.593877845,13.55531394,264,0,62.38993711,29.43396226,9.351841,2.222222222,2.222222222
6013384000,Census Tract 3840,2.784751978,0,4.804864672,67.8,3.6,21.1,6.9,40.3,11.43840664,7.274479559,13.30668294,59,0,49.58333333,12.5,9.351841,9.230769231,9.230769231
6013385100,Census Tract 3851,3.528120562,0,4.565594549,67.8,3.1,18.2,0,42.4,11.77528973,7.412764017,12.98654365,70,0,32.3943662,0,9.351841,7.894736842,7.894736842
6013385200,Census Tract 3852,2.613071509,0,4.701511245,71.5,4.5,27,5.2,51,11.53674941,7.374001859,13.14255808,15,0,44.44444444,26.85185185,9.351841,11.76470588,11.76470588
6013386000,Census Tract 3860,1.514539744,0,4.700281028,43,9.1,38.3,14.5,64.3,10.9518411,7.309212366,13.21621795,57,30,51.79924242,29.64015152,9.351841,13.63636364,25
6013387000,Census Tract 3870,3.090438331,0,4.538000661,49.4,6.9,29.3,4.8,42.4,11.12768936,7.185387016,13.25619473,56,0,51.70556553,27.10951526,9.351841,5.084745763,5.084745763
6013388000,Census Tract 3880,2.445144639,0,4.37471012,52.9,5.9,24.7,6.1,42.4,11.37822768,7.760893196,12.69618523,94,0,33.79549393,14.3847487,9.351841,4.081632653,4.081632653
6013389100,Census Tract 3891,0.394021758,0,4.200665952,62.2,7.6,35.7,3.8,42.9,11.28390216,7.72841578,13.39954047,28,0,38.98635478,17.73879142,9.351841,9.677419355,9.677419355
6013389200,Census Tract 3892,2.355267526,0,4.289048586,56.9,6.1,43.5,11.3,68.1,10.78684178,7.473637108,13.30034218,98,23,46.78624813,21.67414051,9.351841,2.97029703,3.846153846
6013390100,Census Tract 3901,3.006834269,0,4.374843746,62.6,2.2,25.4,0,33,11.5799484,7.890956716,13.56820238,66,0,30.08130081,13.82113821,9.351841,8.333333333,8.333333333
6013390200,Census Tract 3902,2.552357856,0,4.161553484,75.7,7.3,18.4,0,27.3,11.49109899,7.426549072,13.54776182,22,0,37.39130435,3.47826087,9.351841,21.42857143,21.42857143
6013391000,Census Tract 3910,3.203719105,0,4.161984835,85,2.5,12.3,2.7,20.5,11.82224671,6.875232087,12.62412487,43,0,32.48407643,32.48407643,9.351841,10.41666667,10.41666667
6013392000,Census Tract 3920,3.669338789,0,4.18241567,82.9,2.4,16.9,5.5,23,11.94398684,7.98752448,13.22924274,5,0,30.3030303,6.060606061,11.489328,37.5,37.5
6013392200,Census Tract 3922,4.51731491,0,5.472332138,23.8,4.1,36.9,10.3,56.5,11.21948015,7.478169694,13.9090009,188,0,54.78011472,27.43785851,11.489328,4.081632653,4.081632653
6013392300,Census Tract 3923,5.169005296,0,5.536290927,54.6,1.7,36.3,3.4,83.2,11.78581111,7.047517221,13.70491414,0,0,72.11538462,37.01923077,11.489328,100,100
6001400100,Census Tract 4001,3.892190204,0,4.205440056,79.7,3.5,26.5,2.2,27.3,12.06745979,7.327780538,13.66072634,88,0,18.8172043,13.97849462,11.489328,2.222222222,2.222222222
6001400200,Census Tract 4002,1.918913699,0,3.930427351,82.9,1.6,11.7,1.3,19.7,11.86221521,7.212294469,13.6142508,33,0,18.81188119,3.300330033,11.489328,10.81081081,10.81081081
6001400300,Census Tract 4003,2.029652403,0,4.004149486,68.8,7,18.6,1.6,30.9,11.3456659,7.11395611,13.32334312,86,43,31.24098124,11.18326118,11.489328,14.85148515,25.86206897
6001400400,Census Tract 4004,2.394833825,0,3.737068884,75.5,2.5,8.9,1.2,29.4,11.53650526,7.051855623,13.05344193,70,52,37.98033959,11.88561215,11.489328,17.64705882,45.45454545
6001400500,Census Tract 4005,2.4401558,0,3.570710303,61.9,4.9,17,6.1,38,11.23898849,7.211556733,13.25741861,70,24,42.74661509,19.72920696,11.489328,26.31578947,35.21126761
6001400600,Census Tract 4006,2.991598451,0,3.813612602,55.3,11.1,13.2,3,58.6,11.01541086,7.249925537,13.03615168,39,20,47.89915966,34.73389356,11.489328,17.0212766,29.62962963
6001400700,Census Tract 4007,2.931700179,0,3.772760835,40.9,6.4,11.1,14.5,53.6,10.58693787,7.368339686,13.08839286,167,90,63.52253756,34.22370618,27.03497,12.56544503,23.76237624
6001400800,Census Tract 4008,3.20804391,0,3.705744546,49.7,8.1,19.3,3.3,55.8,11.00019803,7.044905117,13.83079318,214,86,47.76422764,21.13821138,11.489328,7.359307359,11.72413793
6001400900,Census Tract 4009,3.309227285,0,3.877924019,41.6,3.8,14.3,9.5,55.3,10.95085918,7.11395611,12.78856756,124,16,45.46722455,29.28870293,11.489328,3.125,3.571428571
6075040100,Census Tract 401,4.326947498,0,4.170975562,64.4,3.6,27.6,6.9,41.1,11.3224427,7.197435354,13.27422573,125,0,32.72131148,15.01639344,11.489328,16.10738255,16.10738255
6001401000,Census Tract 4010,2.163079653,0,4.102311628,33.2,6.5,12.2,21.3,62.3,10.7092042,6.842683282,13.31875219,239,63,61.3416714,42.06935759,11.489328,12.13235294,15.78947368
6001401100,Census Tract 4011,1.791006331,0,4.151700499,57.1,10,10.9,8.3,42.2,10.99373159,6.823286122,13.13606902,87,35,43.68686869,21.71717172,11.489328,17.14285714,25.71428571
6001401200,Census Tract 4012,2.718219509,0,4.19561134,62.1,9.7,15,1.4,37,11.26706329,6.90475077,12.71799766,31,21,34.79349186,19.39924906,11.489328,29.54545455,56.52173913
6001401300,Census Tract 4013,2.796436345,0,4.409981582,33.5,10.1,25.7,15.6,63,10.51292698,6.987490247,12.74198105,123,60,47.50673854,19.8787062,11.489328,2.380952381,4.545454545
6001401400,Census Tract 4014,2.79056636,0,4.347282218,18.6,9.8,23.8,34.6,67.4,10.25878154,7.088408779,12.71679826,250,111,55.48387097,39.59677419,11.489328,5.303030303,9.150326797
6001401500,Census Tract 4015,3.163402619,0,4.312622666,31,6.9,16.4,15.9,58.2,10.78911287,6.809039306,12.81692458,215,38,58.16993464,30.88235294,11.489328,4.867256637,5.85106383
